"type","code","message","context","selector"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"adesso-social-share-link social-icon adesso-social-share-xing animated fadeIn in\" target=\"_blank\" href=\"https://www.xing.com/social/share/spi?url=https://www.adesso.de/de/news/blog/index.jsp\">\n\t\t<svg class=\"adesso-social-me...</a>","#adesso-sharing-modul > div > p:nth-child(2) > a:nth-child(3)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"adesso-social-share-link social-icon adesso-social-share-linkedin animated fadeIn in\" target=\"_blank\" href=\"http://www.linkedin.com/shareArticle?mini=true&amp;url=https://www.adesso.de/de/news/blog/index.jsp\">\n\t\t<svg class=\"adesso-social-me...","#adesso-sharing-modul > div > p:nth-child(2) > a:nth-child(4)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"adesso-social-share-email social-icon animated fadeIn in\" href=\"mailto:?subject=adesso-Blog: Spannende Themen aus der adesso-Welt&amp;body=https://www.adesso.de/de/news/blog/index.jsp\">\n\t\t<svg class=\"adesso-social-me...</a>","#adesso-sharing-modul > div > p:nth-child(2) > a:nth-child(5)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","<a class=\"adesso-save-icon-link\">\n\t\t\t\t\t\t\t\t<svg class=\"adesso-sav...</a>","#adesso-save-a-page-btn > div > p > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.01:1. Recommendation:  change text colour to #7f746c.","<span class=\"breadcrumb-item\">News Center</span>","#page-top > nav > span:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.01:1. Recommendation:  change text colour to #7f746c.","<span class=\"breadcrumb-item\">Blog</span>","#page-top > nav > span:nth-child(3)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"logo page-scroll\" href=\"/de/index.jsp\"> \n\t\t<svg class=\"adesso-logo\" ro...</a>","#page-top > footer > div > div:nth-child(1) > a"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"adesso-social-footer adesso-social-share-link\" target=\"_blank\" href=\"https://www.xing.com/companies/adessoag\"> <svg class=\"adesso-social-medi...</a>","#page-top > footer > div > div:nth-child(2) > div:nth-child(1) > a:nth-child(1)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"adesso-social-footer adesso-social-share-link\" target=\"_blank\" href=\"https://www.linkedin.com/company/adesso-se/\"> <svg class=\"adesso-social-medi...</a>","#page-top > footer > div > div:nth-child(2) > div:nth-child(1) > a:nth-child(2)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"adesso-social-footer adesso-social-share-link\" target=\"_blank\" href=\"https://www.facebook.com/adessoSE/\"> <svg class=\"adesso-social-medi...</a>","#page-top > footer > div > div:nth-child(2) > div:nth-child(1) > a:nth-child(3)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"adesso-social-footer adesso-social-share-link\" target=\"_blank\" href=\"https://twitter.com/adesso_SE\"> <svg class=\"adesso-social-medi...</a>","#page-top > footer > div > div:nth-child(2) > div:nth-child(1) > a:nth-child(4)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"adesso-social-footer adesso-social-share-link\" target=\"_blank\" href=\"https://www.youtube.com/c/adessoSE\"> <svg class=\"adesso-social-medi...</a>","#page-top > footer > div > div:nth-child(2) > div:nth-child(1) > a:nth-child(5)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"adesso-social-footer adesso-social-share-link\" target=\"_blank\" href=\"https://www.instagram.com/adesso_se/\"> <svg class=\"adesso-social-medi...</a>","#page-top > footer > div > div:nth-child(2) > div:nth-child(1) > a:nth-child(6)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"adesso-social-footer adesso-social-share-link\" target=\"_blank\" href=\"https://blog.adesso.de/de/news/blog/index.jsp\"> <svg class=\"adesso-social-medi...</a>","#page-top > footer > div > div:nth-child(2) > div:nth-child(1) > a:nth-child(7)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.1:1. Recommendation:  change text colour to #616161.","<span class=\"ppms_cm_footer__powered_by\" data-disable-select=\"true\" id=\"ppms_cm_footer__powered_by\">Powered by</span>","#ppms_cm_footer__powered_by"
